ky_tu,so_anh_chua,ty_le_anh,tong_so_lan_xuat_hien,ty_le_tan_suat
豢,2,0.0052%,2,0.0004%
豦,2,0.0052%,2,0.0004%
貊,2,0.0052%,2,0.0004%
賻,2,0.0052%,2,0.0004%
購,2,0.0052%,2,0.0004%
贇,2,0.0052%,2,0.0004%
贐,2,0.0052%,2,0.0004%
趕,2,0.0052%,2,0.0004%
跐,2,0.0052%,2,0.0004%
跨,2,0.0052%,2,0.0004%
踊,2,0.0052%,2,0.0004%
踢,2,0.0052%,2,0.0004%
踣,2,0.0052%,2,0.0004%
踪,2,0.0052%,2,0.0004%
踸,2,0.0052%,2,0.0004%
蹀,2,0.0052%,2,0.0004%
蹤,2,0.0052%,2,0.0004%
躅,2,0.0052%,2,0.0004%
躑,2,0.0052%,2,0.0004%
軾,2,0.0052%,2,0.0004%
軿,2,0.0052%,2,0.0004%
輗,2,0.0052%,2,0.0004%
輳,2,0.0052%,2,0.0004%
輻,2,0.0052%,2,0.0004%
轂,2,0.0052%,2,0.0004%
轆,2,0.0052%,2,0.0004%
辤,2,0.0052%,2,0.0004%
迂,2,0.0052%,2,0.0004%
迅,2,0.0052%,2,0.0004%
迩,2,0.0052%,2,0.0004%
逄,2,0.0052%,2,0.0004%
逭,2,0.0052%,2,0.0004%
遑,2,0.0052%,2,0.0004%
鄩,2,0.0052%,2,0.0004%
酧,2,0.0052%,2,0.0004%
釧,2,0.0052%,2,0.0004%
鉆,2,0.0052%,2,0.0004%
鉊,2,0.0052%,2,0.0004%
銖,2,0.0052%,2,0.0004%
鋟,2,0.0052%,2,0.0004%
錚,2,0.0052%,2,0.0004%
錞,2,0.0052%,2,0.0004%
錮,2,0.0052%,2,0.0004%
鏃,2,0.0052%,2,0.0004%
鑁,2,0.0052%,2,0.0004%
鑚,2,0.0052%,2,0.0004%
鑾,2,0.0052%,2,0.0004%
铁,2,0.0052%,2,0.0004%
閟,2,0.0052%,2,0.0004%
陝,2,0.0052%,2,0.0004%
隗,2,0.0052%,2,0.0004%
隸,2,0.0052%,2,0.0004%
隽,2,0.0052%,2,0.0004%
雇,2,0.0052%,2,0.0004%
雛,2,0.0052%,2,0.0004%
霤,2,0.0052%,2,0.0004%
靠,2,0.0052%,2,0.0004%
靳,2,0.0052%,2,0.0004%
靴,2,0.0052%,2,0.0004%
靼,2,0.0052%,2,0.0004%
鞁,2,0.0052%,2,0.0004%
鞾,1,0.0026%,2,0.0004%
韯,2,0.0052%,2,0.0004%
頌,2,0.0052%,2,0.0004%
頠,2,0.0052%,2,0.0004%
頲,1,0.0026%,2,0.0004%
頺,2,0.0052%,2,0.0004%
顫,2,0.0052%,2,0.0004%
餔,2,0.0052%,2,0.0004%
駃,2,0.0052%,2,0.0004%
駟,2,0.0052%,2,0.0004%
駮,2,0.0052%,2,0.0004%
駱,2,0.0052%,2,0.0004%
驢,2,0.0052%,2,0.0004%
魅,2,0.0052%,2,0.0004%
鮒,2,0.0052%,2,0.0004%
鯽,2,0.0052%,2,0.0004%
鰍,2,0.0052%,2,0.0004%
鵰,2,0.0052%,2,0.0004%
鶻,2,0.0052%,2,0.0004%
麀,2,0.0052%,2,0.0004%
麄,2,0.0052%,2,0.0004%
麕,2,0.0052%,2,0.0004%
黥,2,0.0052%,2,0.0004%
鼾,2,0.0052%,2,0.0004%
龎,2,0.0052%,2,0.0004%
龐,2,0.0052%,2,0.0004%
龕,2,0.0052%,2,0.0004%
龱,2,0.0052%,2,0.0004%
𠍓,2,0.0052%,2,0.0004%
𠍵,2,0.0052%,2,0.0004%
𠎣,2,0.0052%,2,0.0004%
𠎨,2,0.0052%,2,0.0004%
𠒬,1,0.0026%,2,0.0004%
𠖯,2,0.0052%,2,0.0004%
𠨪,2,0.0052%,2,0.0004%
𠰙,2,0.0052%,2,0.0004%
𠰩,2,0.0052%,2,0.0004%
𠰳,2,0.0052%,2,0.0004%
𠳖,2,0.0052%,2,0.0004%
𠳿,2,0.0052%,2,0.0004%
𠴑,2,0.0052%,2,0.0004%
𠶔,2,0.0052%,2,0.0004%
𠶤,2,0.0052%,2,0.0004%
𠸂,2,0.0052%,2,0.0004%
𠸬,2,0.0052%,2,0.0004%
𠹴,2,0.0052%,2,0.0004%
𠹽,2,0.0052%,2,0.0004%
𠻃,2,0.0052%,2,0.0004%
𠻆,2,0.0052%,2,0.0004%
𠻗,2,0.0052%,2,0.0004%
𠻴,2,0.0052%,2,0.0004%
𠼵,2,0.0052%,2,0.0004%
𠽆,2,0.0052%,2,0.0004%
𠽊,2,0.0052%,2,0.0004%
𠽍,2,0.0052%,2,0.0004%
𠽮,2,0.0052%,2,0.0004%
𠿚,1,0.0026%,2,0.0004%
𡂂,2,0.0052%,2,0.0004%
𡌽,2,0.0052%,2,0.0004%
𡎤,2,0.0052%,2,0.0004%
𡎥,2,0.0052%,2,0.0004%
𡓄,2,0.0052%,2,0.0004%
𡕷,2,0.0052%,2,0.0004%
𡙁,2,0.0052%,2,0.0004%
𡝖,2,0.0052%,2,0.0004%
𡥙,2,0.0052%,2,0.0004%
𡨺,2,0.0052%,2,0.0004%
𡮳,2,0.0052%,2,0.0004%
𡻕,2,0.0052%,2,0.0004%
𢂎,2,0.0052%,2,0.0004%
𢗃,2,0.0052%,2,0.0004%
𢝜,2,0.0052%,2,0.0004%
𢠅,2,0.0052%,2,0.0004%
𢠿,2,0.0052%,2,0.0004%
𢢇,2,0.0052%,2,0.0004%
𢢯,2,0.0052%,2,0.0004%
𢦤,2,0.0052%,2,0.0004%
𢪊,2,0.0052%,2,0.0004%
𢬄,2,0.0052%,2,0.0004%
𢬥,2,0.0052%,2,0.0004%
𢭄,2,0.0052%,2,0.0004%
𢭲,2,0.0052%,2,0.0004%
𢭾,2,0.0052%,2,0.0004%
𢮖,2,0.0052%,2,0.0004%
𢯜,2,0.0052%,2,0.0004%
𢱖,2,0.0052%,2,0.0004%
𢵋,2,0.0052%,2,0.0004%
𢶻,2,0.0052%,2,0.0004%
𢶿,2,0.0052%,2,0.0004%
𢷣,1,0.0026%,2,0.0004%
𣇊,2,0.0052%,2,0.0004%
𣐳,2,0.0052%,2,0.0004%
𣒲,2,0.0052%,2,0.0004%
𣒵,2,0.0052%,2,0.0004%
𣖮,2,0.0052%,2,0.0004%
𣟪,2,0.0052%,2,0.0004%
𣵰,2,0.0052%,2,0.0004%
𣻃,2,0.0052%,2,0.0004%
𣼕,2,0.0052%,2,0.0004%
𤈛,2,0.0052%,2,0.0004%
𤍎,2,0.0052%,2,0.0004%
𤎒,2,0.0052%,2,0.0004%
𤐜,2,0.0052%,2,0.0004%
𤝞,2,0.0052%,2,0.0004%
𤞑,2,0.0052%,2,0.0004%
𤟛,2,0.0052%,2,0.0004%
𤢿,2,0.0052%,2,0.0004%
𤦛,2,0.0052%,2,0.0004%
𤯝,2,0.0052%,2,0.0004%
𤳄,2,0.0052%,2,0.0004%
𤳇,2,0.0052%,2,0.0004%
𤶑,2,0.0052%,2,0.0004%
𤸫,2,0.0052%,2,0.0004%
𥃱,2,0.0052%,2,0.0004%
𥉰,2,0.0052%,2,0.0004%
𥊩,2,0.0052%,2,0.0004%
𥐧,2,0.0052%,2,0.0004%
𥙧,2,0.0052%,2,0.0004%
𥞁,2,0.0052%,2,0.0004%
𥟍,2,0.0052%,2,0.0004%
𥯎,2,0.0052%,2,0.0004%
𥯤,2,0.0052%,2,0.0004%
𥯨,2,0.0052%,2,0.0004%
𥾒,2,0.0052%,2,0.0004%
𥿁,2,0.0052%,2,0.0004%
𥿄,2,0.0052%,2,0.0004%
𦀎,2,0.0052%,2,0.0004%
𦀚,2,0.0052%,2,0.0004%
𦀾,2,0.0052%,2,0.0004%
𦂳,2,0.0052%,2,0.0004%
𦄾,2,0.0052%,2,0.0004%
𦅰,2,0.0052%,2,0.0004%
𦆆,2,0.0052%,2,0.0004%
𦓿,2,0.0052%,2,0.0004%
𦚖,2,0.0052%,2,0.0004%
𦡙,2,0.0052%,2,0.0004%
𦹷,2,0.0052%,2,0.0004%
𦼜,2,0.0052%,2,0.0004%
𧁷,2,0.0052%,2,0.0004%
𧃰,2,0.0052%,2,0.0004%
𧋃,2,0.0052%,2,0.0004%
𧎜,2,0.0052%,2,0.0004%
𧓍,2,0.0052%,2,0.0004%
𧗅,2,0.0052%,2,0.0004%
𧩙,2,0.0052%,2,0.0004%
𧺁,2,0.0052%,2,0.0004%
𧼈,2,0.0052%,2,0.0004%
𨀊,2,0.0052%,2,0.0004%
𨀌,2,0.0052%,2,0.0004%
𨃉,2,0.0052%,2,0.0004%
𨃝,2,0.0052%,2,0.0004%
𨒟,2,0.0052%,2,0.0004%
𨔈,2,0.0052%,2,0.0004%
𨔊,2,0.0052%,2,0.0004%
𨤠,2,0.0052%,2,0.0004%
𨤧,2,0.0052%,2,0.0004%
𨳒,2,0.0052%,2,0.0004%
𨴦,2,0.0052%,2,0.0004%
𨸈,2,0.0052%,2,0.0004%
𩁶,2,0.0052%,2,0.0004%
𩂶,2,0.0052%,2,0.0004%
𩄓,2,0.0052%,2,0.0004%
𩅗,2,0.0052%,2,0.0004%
𩙋,2,0.0052%,2,0.0004%
𩴬,2,0.0052%,2,0.0004%
𩹌,2,0.0052%,2,0.0004%
𪡥,2,0.0052%,2,0.0004%
𪣷,2,0.0052%,2,0.0004%
𪩘,2,0.0052%,2,0.0004%
𪫢,2,0.0052%,2,0.0004%
𪭟,2,0.0052%,2,0.0004%
𪮞,2,0.0052%,2,0.0004%
𪮭,2,0.0052%,2,0.0004%
𪮻,2,0.0052%,2,0.0004%
𪳔,2,0.0052%,2,0.0004%
𪷞,2,0.0052%,2,0.0004%
𪹚,2,0.0052%,2,0.0004%
𪽐,2,0.0052%,2,0.0004%
𫀢,2,0.0052%,2,0.0004%
𫃫,2,0.0052%,2,0.0004%
𫃰,2,0.0052%,2,0.0004%
𫃸,2,0.0052%,2,0.0004%
𫅩,2,0.0052%,2,0.0004%
𫌇,2,0.0052%,2,0.0004%
𫔭,2,0.0052%,2,0.0004%
𫗂,2,0.0052%,2,0.0004%
𫦻,2,0.0052%,2,0.0004%
𫬍,2,0.0052%,2,0.0004%
𫭧,2,0.0052%,2,0.0004%
𫱞,2,0.0052%,2,0.0004%
𫵀,2,0.0052%,2,0.0004%
𫽗,2,0.0052%,2,0.0004%
𫾐,2,0.0052%,2,0.0004%
𬁻,2,0.0052%,2,0.0004%
𬃑,2,0.0052%,2,0.0004%
𬈴,2,0.0052%,2,0.0004%
𬑰,2,0.0052%,2,0.0004%
𬕹,2,0.0052%,2,0.0004%
𬚸,2,0.0052%,2,0.0004%
𬛩,2,0.0052%,2,0.0004%
𬞕,2,0.0052%,2,0.0004%
𬦃,2,0.0052%,2,0.0004%
𬮌,2,0.0052%,2,0.0004%
𬮎,2,0.0052%,2,0.0004%
𬰓,2,0.0052%,2,0.0004%
𬲄,2,0.0052%,2,0.0004%
𬲊,2,0.0052%,2,0.0004%
𬲢,2,0.0052%,2,0.0004%
𬺍,2,0.0052%,2,0.0004%
𬾠,2,0.0052%,2,0.0004%
𭃂,2,0.0052%,2,0.0004%
𭎑,2,0.0052%,2,0.0004%
𭧙,2,0.0052%,2,0.0004%
𮥠,2,0.0052%,2,0.0004%
𰐁,2,0.0052%,2,0.0004%
󰀢,2,0.0052%,2,0.0004%
󰁳,1,0.0026%,2,0.0004%
󰂌,1,0.0026%,2,0.0004%
󰇶,2,0.0052%,2,0.0004%
󰈝,2,0.0052%,2,0.0004%
󰋃,2,0.0052%,2,0.0004%
󰋑,2,0.0052%,2,0.0004%
󰋟,2,0.0052%,2,0.0004%
󰋫,2,0.0052%,2,0.0004%
󰐻,2,0.0052%,2,0.0004%
󰑀,2,0.0052%,2,0.0004%
󰒆,2,0.0052%,2,0.0004%
󰔂,2,0.0052%,2,0.0004%
󰖠,2,0.0052%,2,0.0004%
󰖢,2,0.0052%,2,0.0004%
󰛈,2,0.0052%,2,0.0004%
󰛎,2,0.0052%,2,0.0004%
󰜜,2,0.0052%,2,0.0004%
󰝶,2,0.0052%,2,0.0004%
󰞂,2,0.0052%,2,0.0004%
󰟉,2,0.0052%,2,0.0004%
󰟌,2,0.0052%,2,0.0004%
󰟘,2,0.0052%,2,0.0004%
󰟩,2,0.0052%,2,0.0004%
󰠇,2,0.0052%,2,0.0004%
󰠈,2,0.0052%,2,0.0004%
󰠎,2,0.0052%,2,0.0004%
󰠖,2,0.0052%,2,0.0004%
󰠜,2,0.0052%,2,0.0004%
󰠞,2,0.0052%,2,0.0004%
󰠤,2,0.0052%,2,0.0004%
󰠥,2,0.0052%,2,0.0004%
󰠯,2,0.0052%,2,0.0004%
󰠼,2,0.0052%,2,0.0004%
󰠽,2,0.0052%,2,0.0004%
󰡄,2,0.0052%,2,0.0004%
󰡈,2,0.0052%,2,0.0004%
󰡋,2,0.0052%,2,0.0004%
󰡠,2,0.0052%,2,0.0004%
󰡶,2,0.0052%,2,0.0004%
󰡸,2,0.0052%,2,0.0004%
󰣁,2,0.0052%,2,0.0004%
󰣝,2,0.0052%,2,0.0004%
󰣞,2,0.0052%,2,0.0004%
󰥙,2,0.0052%,2,0.0004%
󰦅,2,0.0052%,2,0.0004%
󰦕,2,0.0052%,2,0.0004%
󰦞,1,0.0026%,2,0.0004%
󰧉,2,0.0052%,2,0.0004%
󰮇,2,0.0052%,2,0.0004%
󰱉,2,0.0052%,2,0.0004%
󰱒,2,0.0052%,2,0.0004%
󰲺,2,0.0052%,2,0.0004%
󰺔,2,0.0052%,2,0.0004%
󰻩,1,0.0026%,2,0.0004%
󱃨,2,0.0052%,2,0.0004%
󱓨,2,0.0052%,2,0.0004%
󱘬,2,0.0052%,2,0.0004%
󱴏,2,0.0052%,2,0.0004%
…,1,0.0026%,1,0.0002%
㕫,1,0.0026%,1,0.0002%
㖂,1,0.0026%,1,0.0002%
㖇,1,0.0026%,1,0.0002%
㖒,1,0.0026%,1,0.0002%
㗸,1,0.0026%,1,0.0002%
㘃,1,0.0026%,1,0.0002%
㘋,1,0.0026%,1,0.0002%
㘘,1,0.0026%,1,0.0002%
㘛,1,0.0026%,1,0.0002%
㘧,1,0.0026%,1,0.0002%
㜆,1,0.0026%,1,0.0002%
㝡,1,0.0026%,1,0.0002%
㤨,1,0.0026%,1,0.0002%
㥪,1,0.0026%,1,0.0002%
㦆,1,0.0026%,1,0.0002%
㦉,1,0.0026%,1,0.0002%
㧼,1,0.0026%,1,0.0002%
㧾,1,0.0026%,1,0.0002%
㩅,1,0.0026%,1,0.0002%
㩒,1,0.0026%,1,0.0002%
㩧,1,0.0026%,1,0.0002%
㪚,1,0.0026%,1,0.0002%
㫋,1,0.0026%,1,0.0002%
㭴,1,0.0026%,1,0.0002%
㳄,1,0.0026%,1,0.0002%
㴖,1,0.0026%,1,0.0002%
㴽,1,0.0026%,1,0.0002%
㵧,1,0.0026%,1,0.0002%
㻋,1,0.0026%,1,0.0002%
㻡,1,0.0026%,1,0.0002%
㾮,1,0.0026%,1,0.0002%
䁖,1,0.0026%,1,0.0002%
䃈,1,0.0026%,1,0.0002%
䃣,1,0.0026%,1,0.0002%
䈟,1,0.0026%,1,0.0002%
䈪,1,0.0026%,1,0.0002%
䌓,1,0.0026%,1,0.0002%
䌙,1,0.0026%,1,0.0002%
䏢,1,0.0026%,1,0.0002%
䏽,1,0.0026%,1,0.0002%
䐁,1,0.0026%,1,0.0002%
䐗,1,0.0026%,1,0.0002%
䖈,1,0.0026%,1,0.0002%
䖍,1,0.0026%,1,0.0002%
䘏,1,0.0026%,1,0.0002%
䚿,1,0.0026%,1,0.0002%
䞮,1,0.0026%,1,0.0002%
䟢,1,0.0026%,1,0.0002%
䠣,1,0.0026%,1,0.0002%
䣭,1,0.0026%,1,0.0002%
䥽,1,0.0026%,1,0.0002%
䨙,1,0.0026%,1,0.0002%
䱓,1,0.0026%,1,0.0002%
䱛,1,0.0026%,1,0.0002%
丢,1,0.0026%,1,0.0002%
丱,1,0.0026%,1,0.0002%
串,1,0.0026%,1,0.0002%
举,1,0.0026%,1,0.0002%
乕,1,0.0026%,1,0.0002%
亍,1,0.0026%,1,0.0002%
亚,1,0.0026%,1,0.0002%
亲,1,0.0026%,1,0.0002%
亸,1,0.0026%,1,0.0002%
仆,1,0.0026%,1,0.0002%
仟,1,0.0026%,1,0.0002%
企,1,0.0026%,1,0.0002%
伉,1,0.0026%,1,0.0002%
伟,1,0.0026%,1,0.0002%
传,1,0.0026%,1,0.0002%
伲,1,0.0026%,1,0.0002%
佣,1,0.0026%,1,0.0002%
佶,1,0.0026%,1,0.0002%
侔,1,0.0026%,1,0.0002%
侖,1,0.0026%,1,0.0002%
侠,1,0.0026%,1,0.0002%
侼,1,0.0026%,1,0.0002%
俎,1,0.0026%,1,0.0002%
俑,1,0.0026%,1,0.0002%
個,1,0.0026%,1,0.0002%
倐,1,0.0026%,1,0.0002%
們,1,0.0026%,1,0.0002%
倬,1,0.0026%,1,0.0002%
偎,1,0.0026%,1,0.0002%
偬,1,0.0026%,1,0.0002%
偰,1,0.0026%,1,0.0002%
偻,1,0.0026%,1,0.0002%
傓,1,0.0026%,1,0.0002%
傚,1,0.0026%,1,0.0002%
傭,1,0.0026%,1,0.0002%
僩,1,0.0026%,1,0.0002%
僴,1,0.0026%,1,0.0002%
儘,1,0.0026%,1,0.0002%
儿,1,0.0026%,1,0.0002%
关,1,0.0026%,1,0.0002%
冇,1,0.0026%,1,0.0002%
冋,1,0.0026%,1,0.0002%
写,1,0.0026%,1,0.0002%
冶,1,0.0026%,1,0.0002%
凄,1,0.0026%,1,0.0002%
凔,1,0.0026%,1,0.0002%
凴,1,0.0026%,1,0.0002%
刈,1,0.0026%,1,0.0002%
刲,1,0.0026%,1,0.0002%
刳,1,0.0026%,1,0.0002%
刹,1,0.0026%,1,0.0002%
剄,1,0.0026%,1,0.0002%
剉,1,0.0026%,1,0.0002%
剏,1,0.0026%,1,0.0002%
剔,1,0.0026%,1,0.0002%
剷,1,0.0026%,1,0.0002%
剿,1,0.0026%,1,0.0002%
劑,1,0.0026%,1,0.0002%
劓,1,0.0026%,1,0.0002%
劔,1,0.0026%,1,0.0002%
勗,1,0.0026%,1,0.0002%
勣,1,0.0026%,1,0.0002%
匆,1,0.0026%,1,0.0002%
匍,1,0.0026%,1,0.0002%
卸,1,0.0026%,1,0.0002%
厂,1,0.0026%,1,0.0002%
厎,1,0.0026%,1,0.0002%
厓,1,0.0026%,1,0.0002%
厖,1,0.0026%,1,0.0002%
厪,1,0.0026%,1,0.0002%
厰,1,0.0026%,1,0.0002%
叉,1,0.0026%,1,0.0002%
叕,1,0.0026%,1,0.0002%
叶,1,0.0026%,1,0.0002%
叻,1,0.0026%,1,0.0002%
叽,1,0.0026%,1,0.0002%
吮,1,0.0026%,1,0.0002%
吻,1,0.0026%,1,0.0002%
呪,1,0.0026%,1,0.0002%
呲,1,0.0026%,1,0.0002%
呷,1,0.0026%,1,0.0002%
呻,1,0.0026%,1,0.0002%
咆,1,0.0026%,1,0.0002%
咕,1,0.0026%,1,0.0002%
咜,1,0.0026%,1,0.0002%
咬,1,0.0026%,1,0.0002%
哄,1,0.0026%,1,0.0002%
哈,1,0.0026%,1,0.0002%
哎,1,0.0026%,1,0.0002%
哦,1,0.0026%,1,0.0002%
哯,1,0.0026%,1,0.0002%
哼,1,0.0026%,1,0.0002%
哽,1,0.0026%,1,0.0002%
哿,1,0.0026%,1,0.0002%
唇,1,0.0026%,1,0.0002%
唈,1,0.0026%,1,0.0002%
唋,1,0.0026%,1,0.0002%
唤,1,0.0026%,1,0.0002%
唫,1,0.0026%,1,0.0002%
唵,1,0.0026%,1,0.0002%
啮,1,0.0026%,1,0.0002%
啷,1,0.0026%,1,0.0002%
喘,1,0.0026%,1,0.0002%
喚,1,0.0026%,1,0.0002%
喿,1,0.0026%,1,0.0002%
嗄,1,0.0026%,1,0.0002%
嗎,1,0.0026%,1,0.0002%
嗕,1,0.0026%,1,0.0002%
嗙,1,0.0026%,1,0.0002%
嗦,1,0.0026%,1,0.0002%
嗼,1,0.0026%,1,0.0002%
嘔,1,0.0026%,1,0.0002%
嘛,1,0.0026%,1,0.0002%
嘩,1,0.0026%,1,0.0002%
嘶,1,0.0026%,1,0.0002%
嘼,1,0.0026%,1,0.0002%
噄,1,0.0026%,1,0.0002%
噷,1,0.0026%,1,0.0002%
噽,1,0.0026%,1,0.0002%
嚀,1,0.0026%,1,0.0002%
囔,1,0.0026%,1,0.0002%
囝,1,0.0026%,1,0.0002%
囱,1,0.0026%,1,0.0002%
囻,1,0.0026%,1,0.0002%
圃,1,0.0026%,1,0.0002%
圉,1,0.0026%,1,0.0002%
圮,1,0.0026%,1,0.0002%
圻,1,0.0026%,1,0.0002%
坉,1,0.0026%,1,0.0002%
坎,1,0.0026%,1,0.0002%
坵,1,0.0026%,1,0.0002%
垔,1,0.0026%,1,0.0002%
埕,1,0.0026%,1,0.0002%
埜,1,0.0026%,1,0.0002%
埸,1,0.0026%,1,0.0002%
堈,1,0.0026%,1,0.0002%
堒,1,0.0026%,1,0.0002%
堝,1,0.0026%,1,0.0002%
堞,1,0.0026%,1,0.0002%
塋,1,0.0026%,1,0.0002%
塏,1,0.0026%,1,0.0002%
墉,1,0.0026%,1,0.0002%
墊,1,0.0026%,1,0.0002%
墝,1,0.0026%,1,0.0002%
壝,1,0.0026%,1,0.0002%
壠,1,0.0026%,1,0.0002%
备,1,0.0026%,1,0.0002%
夊,1,0.0026%,1,0.0002%
央,1,0.0026%,1,0.0002%
奂,1,0.0026%,1,0.0002%
奐,1,0.0026%,1,0.0002%
奖,1,0.0026%,1,0.0002%
奭,1,0.0026%,1,0.0002%
她,1,0.0026%,1,0.0002%
妁,1,0.0026%,1,0.0002%
妆,1,0.0026%,1,0.0002%
姒,1,0.0026%,1,0.0002%
娉,1,0.0026%,1,0.0002%
娱,1,0.0026%,1,0.0002%
婉,1,0.0026%,1,0.0002%
婿,1,0.0026%,1,0.0002%
媛,1,0.0026%,1,0.0002%
嫚,1,0.0026%,1,0.0002%
嫠,1,0.0026%,1,0.0002%
嫧,1,0.0026%,1,0.0002%
嬉,1,0.0026%,1,0.0002%
嬋,1,0.0026%,1,0.0002%
嬍,1,0.0026%,1,0.0002%
嬏,1,0.0026%,1,0.0002%
孀,1,0.0026%,1,0.0002%
孌,1,0.0026%,1,0.0002%
孑,1,0.0026%,1,0.0002%
宄,1,0.0026%,1,0.0002%
宓,1,0.0026%,1,0.0002%
寀,1,0.0026%,1,0.0002%
寥,1,0.0026%,1,0.0002%
寰,1,0.0026%,1,0.0002%
对,1,0.0026%,1,0.0002%
尞,1,0.0026%,1,0.0002%
尪,1,0.0026%,1,0.0002%
尿,1,0.0026%,1,0.0002%
届,1,0.0026%,1,0.0002%
屎,1,0.0026%,1,0.0002%
屨,1,0.0026%,1,0.0002%
屹,1,0.0026%,1,0.0002%
岋,1,0.0026%,1,0.0002%
岡,1,0.0026%,1,0.0002%
岹,1,0.0026%,1,0.0002%
峋,1,0.0026%,1,0.0002%
峭,1,0.0026%,1,0.0002%
峽,1,0.0026%,1,0.0002%
崎,1,0.0026%,1,0.0002%
崗,1,0.0026%,1,0.0002%
嶂,1,0.0026%,1,0.0002%
嶇,1,0.0026%,1,0.0002%
嶘,1,0.0026%,1,0.0002%
嶙,1,0.0026%,1,0.0002%
嶠,1,0.0026%,1,0.0002%
嶢,1,0.0026%,1,0.0002%
嶧,1,0.0026%,1,0.0002%
嶪,1,0.0026%,1,0.0002%
巔,1,0.0026%,1,0.0002%
巵,1,0.0026%,1,0.0002%
巻,1,0.0026%,1,0.0002%
巽,1,0.0026%,1,0.0002%
币,1,0.0026%,1,0.0002%
幃,1,0.0026%,1,0.0002%
幇,1,0.0026%,1,0.0002%
幛,1,0.0026%,1,0.0002%
幬,1,0.0026%,1,0.0002%
幻,1,0.0026%,1,0.0002%
庾,1,0.0026%,1,0.0002%
廈,1,0.0026%,1,0.0002%
廝,1,0.0026%,1,0.0002%
廨,1,0.0026%,1,0.0002%
廩,1,0.0026%,1,0.0002%
廹,1,0.0026%,1,0.0002%
开,1,0.0026%,1,0.0002%
弌,1,0.0026%,1,0.0002%
弎,1,0.0026%,1,0.0002%
弝,1,0.0026%,1,0.0002%
弥,1,0.0026%,1,0.0002%
弯,1,0.0026%,1,0.0002%
彀,1,0.0026%,1,0.0002%
录,1,0.0026%,1,0.0002%
彷,1,0.0026%,1,0.0002%
彾,1,0.0026%,1,0.0002%
彿,1,0.0026%,1,0.0002%
忖,1,0.0026%,1,0.0002%
忮,1,0.0026%,1,0.0002%
忻,1,0.0026%,1,0.0002%
怀,1,0.0026%,1,0.0002%
怡,1,0.0026%,1,0.0002%
怩,1,0.0026%,1,0.0002%
怫,1,0.0026%,1,0.0002%
怱,1,0.0026%,1,0.0002%
怵,1,0.0026%,1,0.0002%
悚,1,0.0026%,1,0.0002%
悞,1,0.0026%,1,0.0002%
悰,1,0.0026%,1,0.0002%
悽,1,0.0026%,1,0.0002%
惔,1,0.0026%,1,0.0002%
惕,1,0.0026%,1,0.0002%
愉,1,0.0026%,1,0.0002%
愕,1,0.0026%,1,0.0002%
愻,1,0.0026%,1,0.0002%
慓,1,0.0026%,1,0.0002%
慛,1,0.0026%,1,0.0002%
慻,1,0.0026%,1,0.0002%
慾,1,0.0026%,1,0.0002%
憊,1,0.0026%,1,0.0002%
憼,1,0.0026%,1,0.0002%
懌,1,0.0026%,1,0.0002%
戅,1,0.0026%,1,0.0002%
戛,1,0.0026%,1,0.0002%
戟,1,0.0026%,1,0.0002%
戠,1,0.0026%,1,0.0002%
戥,1,0.0026%,1,0.0002%
戬,1,0.0026%,1,0.0002%
扉,1,0.0026%,1,0.0002%
扐,1,0.0026%,1,0.0002%
抃,1,0.0026%,1,0.0002%
抯,1,0.0026%,1,0.0002%
拆,1,0.0026%,1,0.0002%
拈,1,0.0026%,1,0.0002%
拊,1,0.0026%,1,0.0002%
拌,1,0.0026%,1,0.0002%
拎,1,0.0026%,1,0.0002%
拧,1,0.0026%,1,0.0002%
拭,1,0.0026%,1,0.0002%
挄,1,0.0026%,1,0.0002%
挍,1,0.0026%,1,0.0002%
挚,1,0.0026%,1,0.0002%
挣,1,0.0026%,1,0.0002%
挴,1,0.0026%,1,0.0002%
捃,1,0.0026%,1,0.0002%
捆,1,0.0026%,1,0.0002%
捎,1,0.0026%,1,0.0002%
捝,1,0.0026%,1,0.0002%
据,1,0.0026%,1,0.0002%
捶,1,0.0026%,1,0.0002%
捺,1,0.0026%,1,0.0002%
掇,1,0.0026%,1,0.0002%
掎,1,0.0026%,1,0.0002%
掤,1,0.0026%,1,0.0002%
掬,1,0.0026%,1,0.0002%
揇,1,0.0026%,1,0.0002%
揑,1,0.0026%,1,0.0002%
揬,1,0.0026%,1,0.0002%
揵,1,0.0026%,1,0.0002%
揸,1,0.0026%,1,0.0002%
揽,1,0.0026%,1,0.0002%
搖,1,0.0026%,1,0.0002%
搛,1,0.0026%,1,0.0002%
搪,1,0.0026%,1,0.0002%
搭,1,0.0026%,1,0.0002%
搶,1,0.0026%,1,0.0002%
摘,1,0.0026%,1,0.0002%
摟,1,0.0026%,1,0.0002%
摭,1,0.0026%,1,0.0002%
摹,1,0.0026%,1,0.0002%
摽,1,0.0026%,1,0.0002%
撈,1,0.0026%,1,0.0002%
撟,1,0.0026%,1,0.0002%
擭,1,0.0026%,1,0.0002%
擯,1,0.0026%,1,0.0002%
擰,1,0.0026%,1,0.0002%
擿,1,0.0026%,1,0.0002%
攊,1,0.0026%,1,0.0002%
敄,1,0.0026%,1,0.0002%
敉,1,0.0026%,1,0.0002%
敔,1,0.0026%,1,0.0002%
斌,1,0.0026%,1,0.0002%
斟,1,0.0026%,1,0.0002%
